"",,Prep,,,,Teaching,Marking
"",,L08,W,18:30,21:30,600204,600109
"",,L09,R,09:30,12:30,600307,600307
"",,T03,F,09:00,10:00,600307,600307
F1,499,600206;600305;,,,,,
"",,1,WF,09:30,11:00,600206,600305
F4,101,600298;600144;600114;600311;,,,,,
"",,L05,R,09:00,10:00,600114,600114
"",,L04,W,12:00,13:00,600144,600144
"",,L02,M,12:00,13:00,600298,600298
"",,L01,M,10:00,11:00,600311,600311
"",,L03,M,14:00,15:00,600311,600311
F1,421,,,,,,
"",,L01,F,12:00,14:00,noEligibleTA,noEligibleTA
"",,L02,W,16:00,18:00,noEligibleTA,noEligibleTA
F1,111,600302;500258;600199;500190;500063;600146;600112;600113;600114;500212;600100;600103;600306;500216;,,,,,
"",,L02,W,10:00,12:00,500063,500063
"",,L05,W,10:00,12:00,500190,500190
"",,L14,R,10:00,12:00,500190,500190
"",,L17,W,12:00,14:00,500212,500212
"",,L06,R,16:00,18:00,500216,500216
"",,L20,F,14:00,16:00,500216,600112
"",,L09,M,10:00,12:00,500258,500258
"",,L12,M,16:00,18:00,600100,600100
"",,L03,T,12:00,14:00,600103,600146
"",,L10,R,12:00,14:00,600112,600112
"",,L16,F,10:00,12:00,600112,600199
"",,L19,T,10:00,12:00,600112,600306
"",,L08,M,08:00,10:00,600113,600302
"",,L15,T,14:00,16:00,600113,600113
"",,L18,M,12:00,14:00,600113,600113
"",,L01,F,12:00,14:00,600114,500190
"",,L11,F,14:00,16:00,600114,500216
"",,L04,W,08:00,10:00,600199,500258
"",,L07,T,16:00,18:00,600199,600199
"",,L13,M,10:00,12:00,600199,500216
F1,341,600302;600145;600118;600205;600208;600317;,,,,,
"",,L2D,F,14:00,16:00,600118,600145
"",,L2B,M,16:00,18:00,600145,600302
"",,L2A,W,16:00,18:00,600205,600208
"",,L2C,W,14:00,16:00,600205,600317
"",,L2E,M,12:00,14:00,600205,600145
"",,L2F,W,10:00,12:00,600317,600317
F4,580,600300;600097;,,,,,
"",,T1A,R,08:30,09:30,600097,600300
"",,L01,R,12:30,16:30,600300,600300
F1,407,600318;600319;,,,,,
"",,L02,M,14:00,16:00,600318,600319
"",,L03,W,16:00,18:00,600318,600318
"",,L01,R,14:00,16:00,600319,600318
"",,L04,M,08:00,10:00,600319,600318
F4,581,600097;600299;,,,,,
"",,L01,R,12:30,16:30,600097,600299
"",,T1A,T,08:30,09:30,600097,600097
F4,531,600297;600206;,,,,,
"",,L01,W,12:30,16:30,600206,600297
"",,T1A,W,08:30,09:30,600297,600297
F4,530,600094;,,,,,
"",,L01,T,12:30,16:30,600094,600094
"",,T1A,T,08:30,09:30,600094,600094
F3,124,600100;600207;600319;600202;600313;,,,,,
"",,L07,W,08:00,09:00,600100,600100
"",,L03,F,11:00,12:00,600202,600202
"",,L01,W,13:00,14:00,600207,600207
"",,L02,M,16:00,17:00,600313,600313
"",,L04,W,16:00,17:00,600313,600319
F1,305,600198;500062;500082;600117;600314;,,,,,
"",,L04,M,10:00,12:00,500062,500062
"",,L02,M,14:00,16:00,500082,500082
"",,L01,F,14:00,16:00,600117,600314
"",,L03,R,10:00,12:00,600117,600198
F2,331,600106;600205;,,,,,
"",,L01,R,09:30,12:30,600106,600205
F4,533,600095;600209;,,,,,
"",,L01,M,12:30,16:30,600209,600095
"",,T1A,W,08:30,09:30,600209,600095
F1,301,500240;500124;600143;600111;600316;600312;,,,,,
"",,L2C,W,10:00,12:00,500124,500124
"",,L2B,F,08:00,10:00,500240,500240
"",,L2A,F,16:00,18:00,600111,600111
"",,L2F,F,14:00,16:00,600143,600143
"",,L2E,W,14:00,16:00,600312,600312
"",,L2D,M,10:00,12:00,600316,600316
F1,344,600148;,,,,,
"",,L01,T,14:00,16:00,600148,600148
F4,532,600095;600209;,,,,,
"",,T1A,T,08:30,09:30,600095,600095
"",,L01,W,12:30,16:30,600209,600209
F4,553,600105;600303;,,,,,
"",,T1A,R,08:30,09:30,600105,600303
"",,L01,T,12:30,16:30,600303,600105
F3,121,600298;600106;600208;600312;,,,,,
"",,L04,F,09:00,10:00,600106;600208,600208
"",,L02,W,13:00,14:00,600298;600312,600298
"",,L03,T,13:00,14:00,600298;600312,600298
